"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AT5G64120",3.90864831777567,8.88124901577836,13.9490796673558,3.41841356556253e-08,0.000155308830925291,9.04482660680107
"AT4G12500",4.6259953812572,9.34722675465411,13.7436236180448,3.97448403575903e-08,0.000155308830925291,8.9012773596247
"AT4G12490",3.99584102661711,9.28858653967181,13.1701155781982,6.12023955203256e-08,0.000155308830925291,8.55610824575847
"AT2G39200",3.99287162347763,8.00255274010143,12.9287266811962,7.37692357149893e-08,0.000155308830925291,8.39710856205025
"AT2G19190",4.48684465583013,6.07591103949066,13.5083705598158,4.73502495778147e-08,0.000155308830925291,8.28748800947369
"AT3G46280",4.75226994365561,6.6140623329148,13.0700047035254,6.61064036357703e-08,0.000155308830925291,8.22751068273785
"AT2G43620",3.39067043047011,9.35120536164754,12.4008317755529,1.12212866003069e-07,0.000181156555647507,8.04781845064996
"AT1G51800",3.94946436203678,6.63756233148742,12.3734655244801,1.14728660954722e-07,0.000181156555647507,7.89868031956188
"AT3G45060",3.07950316125843,6.42721934427175,11.0480767786553,3.54694465577683e-07,0.000497833387686365,6.97980526852731
"AT2G45220",3.54293194671742,6.83219253432624,10.1910589138529,7.84010509173057e-07,0.000903764044856582,6.29024792227189
"AT3G22060",2.75873950928524,7.99954442681522,10.1245725771695,8.3569221611171e-07,0.000903764044856582,6.27632253789709
"AT2G17740",4.32453972478457,5.62414837250812,10.0965800664099,8.5854722437294e-07,0.000903764044856582,5.88147288567372
"AT1G02920",3.15480438899607,8.39546502723813,9.93273940533502,1.00667997480325e-06,0.000978183187824201,6.10196894883411
"AT2G39530",4.17745512248772,5.46438098939482,9.83225812764179,1.11109501686418e-06,0.00100252516093059,5.50395288622959
"AT2G35930",3.02736163943155,5.74315629491389,9.55189755214533,1.46979399055702e-06,0.00123776251258108,5.64752145222246
"AT4G01700",3.07096659977706,6.83924628678208,9.27448451437982,1.95143993646739e-06,0.001540661829841,5.46897030768731
"AT1G30720",3.7462190547728,5.87183909110415,9.16677936011259,2.18244255498927e-06,0.00162168319733085,5.26397311022623
"AT5G39580",3.34242971735126,5.73969454747393,9.09898038535361,2.34293985918044e-06,0.00164422312784263,5.2098419064598
"AT3G21230",3.0715385928766,5.88434358918364,9.03658743220473,2.50197560678094e-06,0.00166341872972931,5.18211117267689
"AT1G51890",2.93700572371665,5.32161418764914,8.91941740602329,2.83313554652169e-06,0.00170419848684105,4.99394045831373
"AT1G51820",4.32069688585649,5.13173783136606,8.93277704053868,2.79308448012492e-06,0.00170419848684105,4.50121116015903
"AT4G12480",2.51536940746085,9.39156888212492,8.66928126243211,3.71018082293896e-06,0.00202052119549034,4.87632782049909
"AT4G20860",3.52199099405132,7.43773033863907,8.6408902637791,3.82696414525922e-06,0.00202052119549034,4.84363786116506
"AT5G37600",2.57085050574659,9.53391165757849,8.63805046027017,3.83886230935467e-06,0.00202052119549034,4.84317728920372
"AT1G02930",2.43852739307709,10.1199514573172,8.53429261044088,4.30224512547507e-06,0.00217383841700004,4.73196463524579
"AT5G19230",2.71705214533432,7.7544475208216,8.20396555285346,6.22846664812058e-06,0.00302607656534843,4.38332932051387
"AT3G44860",2.62669530897352,8.78255751763582,8.06549666085827,7.2977747091548e-06,0.00341427741207569,4.23070167406076
"AT1G65845",3.5668675659243,8.22944479333077,8.01903272263195,7.69975185537805e-06,0.00347368805132627,4.17836996560039
"AT2G35980",2.61235022423805,6.26147879578001,7.95579230028042,8.28574906053466e-06,0.00360915800457496,4.10001923823652
"AT4G30190",2.51822233617783,9.10842281539139,7.82674919942955,9.63639511791641e-06,0.004057564770984,3.96198084555502
"AT1G29660",-2.70753506032538,4.92860766508561,-7.75942340809078,1.04338637443946e-05,0.00425163118771589,3.77644453560817
"AT1G09750",-2.3355036462096,6.01407447853696,-7.6227970985486,1.22797989815065e-05,0.00471647692194134,3.72319440201368
"AT4G36670",2.85487268017489,7.51292953174398,7.61171192887617,1.24443189440494e-05,0.00471647692194134,3.7140731285811
"AT5G50200",2.31466200297625,7.80753359186094,7.59513727806368,1.26947605562069e-05,0.00471647692194134,3.69426434564672
"AT1G14870",2.49024203844168,5.26154576397926,7.45951359071227,1.49603662534845e-05,0.00521427918722868,3.50929931025761
"AT1G52200",2.33156988713969,7.18667355280361,7.39930874199572,1.61025784601338e-05,0.00521427918722868,3.46305341437822
"AT1G17380",2.6043237188802,5.69385498091216,7.40404661141141,1.60093691881473e-05,0.00521427918722868,3.46214880655059
"AT3G13790",2.04175736373231,8.56160194867203,7.35281134379572,1.70489958733021e-05,0.00521427918722868,3.40648133463828
"AT4G21120",2.04761131435545,5.80472316882548,7.34048572640194,1.73098036174283e-05,0.00521427918722868,3.39374312985576
